"R1","R2","R3","R4","R5","R6","R7","R8","I1","I2","I3","I4","I5","I6","I7","I8","education","gender","age","race","country"
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,34,3,"US"
2,3,1,2,1,2,1,3,4,5,4,2,4,4,4,2,2,2,21,4,"US"
1,3,2,1,1,1,1,3,5,4,4,3,4,3,4,4,3,1,47,4,"US"
2,2,2,2,1,2,2,1,1,4,3,1,1,2,2,2,2,2,18,4,"US"
1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,1,2,2,18,5,"US"
3,3,1,1,2,1,2,2,1,5,5,1,1,5,2,2,2,2,16,4,"US"
1,4,2,1,1,4,1,3,3,5,1,3,1,2,1,1,2,2,17,4,"US"
4,3,4,4,4,5,4,4,5,5,5,5,4,5,4,5,2,1,16,4,"US"
2,1,2,5,2,2,2,1,3,4,5,2,4,5,3,3,2,1,17,3,"US"
3,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,2,2,19,4,"US"
3,4,3,2,3,4,3,5,5,5,5,5,3,5,4,3,2,2,18,3,"US"
4,4,2,4,4,2,4,2,3,4,4,3,3,3,3,4,2,1,18,4,"US"
4,3,1,2,1,2,1,2,5,4,4,4,3,4,3,2,3,1,51,4,"US"
1,2,1,2,3,3,3,3,4,3,4,4,4,3,4,2,2,2,18,3,"US"
4,1,3,1,1,3,3,3,3,4,1,2,1,1,1,1,2,2,18,4,"US"
3,1,1,1,1,1,1,1,2,5,5,2,5,4,4,4,2,2,26,4,"US"
3,4,1,5,5,5,5,5,4,2,1,5,2,1,1,1,1,2,18,4,"US"
1,1,1,2,1,1,2,1,2,4,3,2,3,4,3,4,3,2,34,4,"US"
3,5,3,5,1,5,3,3,4,5,4,2,5,3,5,1,1,1,15,5,"US"
1,4,1,2,1,5,1,2,4,2,2,3,3,2,2,2,2,2,18,4,"US"
2,1,1,1,1,1,1,1,2,3,3,1,3,3,4,1,1,2,14,4,"US"
3,4,2,5,4,4,5,4,2,4,1,4,3,2,1,1,1,1,14,5,"US"
1,2,1,2,1,2,2,2,3,2,2,3,1,2,2,2,2,2,18,3,"US"
4,3,1,5,2,2,2,4,5,5,4,5,4,4,4,4,3,1,40,5,"US"
1,1,1,1,2,1,1,1,4,4,3,3,3,2,2,1,3,2,34,4,"US"
3,1,3,5,2,4,3,1,5,5,5,5,5,5,4,4,1,1,17,4,"US"
4,1,1,5,5,1,5,3,4,1,1,5,3,1,5,1,3,2,51,3,"US"
5,3,1,2,2,2,3,2,5,5,3,5,2,2,3,5,2,2,18,5,"US"
3,1,1,1,1,1,1,1,4,4,3,3,1,3,1,1,2,2,20,4,"US"
4,4,4,4,3,3,2,4,4,5,4,4,4,3,3,3,2,2,17,1,"US"
1,1,1,3,1,1,1,1,4,5,5,3,4,4,5,1,3,2,25,5,"US"
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,20,3,"US"
3,1,1,2,2,1,2,1,5,4,4,3,2,4,3,3,3,2,23,5,"US"
2,1,1,1,1,1,1,1,3,4,3,3,4,3,3,2,2,1,19,4,"US"
3,2,4,4,3,3,4,2,5,5,5,5,5,5,5,3,2,1,25,3,"US"
1,1,1,1,1,1,1,1,3,4,1,3,3,1,1,1,4,2,49,4,"US"
4,4,3,4,3,4,4,4,5,3,4,4,4,3,5,4,2,2,27,5,"US"
1,2,2,1,1,1,1,1,4,2,2,3,1,4,1,4,3,2,62,4,"US"
3,2,1,4,1,1,2,1,4,3,3,3,3,2,1,4,3,3,19,4,"US"
4,2,2,4,2,1,2,1,1,3,2,2,2,1,1,3,2,1,21,4,"US"
